------------------------------------------------------------------------------------------------------------------------------------------------------
Notes: 
  Total_num: the numbers of add/sub in rtl
  Module Name: the module name of the instantiated module calling directly the add/sub sub module
  Location/Inst Name: if linefile info exists(no optimization), print the codes location of add/sub in rtl, else print the inst name
  Count: the amount of lutcarry for add/sub
  Number: the numbers of add/sub with the same lutcarry counts and linefile
  LUT Total Nums from Add and Sub : 131
------------------------------------------------------------------------------------------------------------------------------------------------------

-----------------------------------------------------------------------------------------------------------------------------------------------------------------------
Detailed RTL Component Info :
-----Add Total Nums : 17
-----Sub Total Nums : 0
-----LUT Total Nums from Add and Sub : 131

Add_Sub: Initial Mapping Report :
|-------------------------------------|---------|---------|---------|--------------------------------------------------------------------|
|Module Name                          |Type     |Count    |Number   |Location/Inst Name                                                  |
|-------------------------------------|---------|---------|---------|--------------------------------------------------------------------|
|inst_cmu_to_mb_s2p                   |Add      |9        |1        |../../../rtl/communication/s2p_master.v:96                          |
|-------------------------------------|---------|---------|---------|--------------------------------------------------------------------|
|inst_i2c_inf                         |Add      |8        |1        |../../../rtl/i2c/I2C_SLAVE_INF.v:108                                |
|-------------------------------------|---------|---------|---------|--------------------------------------------------------------------|
|inst_mb_to_cmu_p2s                   |Add      |8        |1        |inst_mb_to_cmu_p2s/N312_4                                           |
|-------------------------------------|---------|---------|---------|--------------------------------------------------------------------|
|inst_mcpld_to_scpld_s2p              |Add      |9        |1        |../../../rtl/communication/s2p_slave.v:87                           |
|-------------------------------------|---------|---------|---------|--------------------------------------------------------------------|
|inst_scpld_to_mcpld_p2s              |Add      |9        |1        |inst_scpld_to_mcpld_p2s/N570_4                                      |
|-------------------------------------|---------|---------|---------|--------------------------------------------------------------------|
|m_WDT3                               |Add      |10       |1        |../../../rtl/common/WDT.v:109                                       |
|-------------------------------------|---------|---------|---------|--------------------------------------------------------------------|
|timer_gen_inst                       |Add      |6        |1        |../../../rtl/common/timer_gen_50mhz.v:95                            |
|-------------------------------------|---------|---------|---------|--------------------------------------------------------------------|
|timer_gen_inst                       |Add      |18       |1        |../../../rtl/common/timer_gen_50mhz.v:97                            |
|-------------------------------------|---------|---------|---------|--------------------------------------------------------------------|
|uart_master_u1                       |Add      |6        |1        |../../../rtl/communication/uart_master.v:196                        |
|-------------------------------------|---------|---------|---------|--------------------------------------------------------------------|
|uart_master_u10                      |Add      |6        |1        |../../../rtl/communication/uart_master.v:196                        |
|-------------------------------------|---------|---------|---------|--------------------------------------------------------------------|
|uart_master_u11                      |Add      |6        |1        |../../../rtl/communication/uart_master.v:196                        |
|-------------------------------------|---------|---------|---------|--------------------------------------------------------------------|
|uart_master_u12                      |Add      |6        |1        |../../../rtl/communication/uart_master.v:196                        |
|-------------------------------------|---------|---------|---------|--------------------------------------------------------------------|
|uart_master_u2                       |Add      |6        |1        |../../../rtl/communication/uart_master.v:196                        |
|-------------------------------------|---------|---------|---------|--------------------------------------------------------------------|
|uart_master_u3                       |Add      |6        |1        |../../../rtl/communication/uart_master.v:196                        |
|-------------------------------------|---------|---------|---------|--------------------------------------------------------------------|
|uart_master_u5                       |Add      |6        |1        |../../../rtl/communication/uart_master.v:196                        |
|-------------------------------------|---------|---------|---------|--------------------------------------------------------------------|
|uart_master_u6                       |Add      |6        |1        |../../../rtl/communication/uart_master.v:196                        |
|-------------------------------------|---------|---------|---------|--------------------------------------------------------------------|
|uart_master_u7                       |Add      |6        |1        |../../../rtl/communication/uart_master.v:196                        |
|-------------------------------------|---------|---------|---------|--------------------------------------------------------------------|
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------
